congress	session	start	end
61	3	1910-12-05	1911-03-03
62	1	1911-04-04	1911-08-22
62	2	1911-12-04	1912-08-26
62	3	1912-12-02	1913-03-03
63	A	1913-03-04	1913-03-17
63	1	1913-04-07	1913-12-01
63	2	1913-12-01	1914-10-24
63	3	1914-12-07	1915-03-03
64	1	1915-12-06	1916-09-08
64	2	1916-12-04	1917-03-03
65	A	1917-03-05	1917-03-16
65	1	1917-04-02	1917-10-06
65	2	1917-12-03	1918-11-21
65	3	1918-12-02	1919-03-03
66	1	1919-05-19	1919-11-19
66	2	1919-12-01	1920-06-05
66	3	1920-12-06	1921-03-03
67	A	1921-03-04	1921-03-15
67	1	1921-04-11	1921-11-23
67	2	1921-12-05	1922-09-22
67	3	1922-11-20	1922-12-04
67	4	1922-12-04	1923-03-03
68	1	1923-12-03	1924-06-07
68	2	1924-12-01	1925-03-03
69	A	1925-03-04	1925-03-18
69	1	1925-12-07	1926-07-03
69	B	1926-11-10	1926-11-10
69	2	1926-12-06	1927-03-04
70	1	1927-12-05	1928-05-29
70	2	1928-12-03	1929-03-03
71	A	1929-03-04	1929-03-05
71	1	1929-04-15	1929-11-22
71	2	1929-12-02	1930-07-03
71	B	1930-07-07	1930-07-21
71	3	1930-12-01	1931-03-03
72	1	1931-12-07	1932-07-16
72	2	1932-12-05	1933-03-03
73	A	1933-03-04	1933-03-06
73	1	1933-03-09	1933-06-15
73	2	1934-01-03	1934-06-18
74	1	1935-01-03	1935-08-26
74	2	1936-01-03	1936-06-20
75	1	1937-01-05	1937-08-21
75	2	1937-11-15	1937-12-21
75	3	1938-01-03	1938-06-16
76	1	1939-01-03	1939-08-05
76	2	1939-09-21	1939-11-03
76	3	1940-01-03	1941-01-03
77	1941	1941-01-03	1942-01-02
77	1942	1942-01-05	1942-12-16
78	1943	1943-01-06	1943-12-21
78	1944	1944-01-10	1944-12-19
79	1945	1945-01-03	1945-12-21
79	1946	1946-01-14	1946-08-02
80	1947	1947-01-03	1947-12-19
80	1948	1948-01-06	1948-12-31
81	1949	1949-01-03	1949-10-19
81	1950	1950-01-03	1951-01-02
82	1951	1951-01-03	1951-10-20
82	1952	1952-01-08	1952-07-07
83	1953	1953-01-03	1953-08-03
83	1954	1954-01-06	1954-12-02
84	1955	1955-01-05	1955-08-02
84	1956	1956-01-03	1956-07-27
85	1957	1957-01-03	1957-08-30
85	1958	1958-01-07	1958-08-24
86	1959	1959-01-07	1959-09-15
86	1960	1960-01-06	1960-09-01
87	1961	1961-01-03	1961-09-27
87	1962	1962-01-10	1962-10-13
88	1963	1963-01-09	1963-12-30
88	1964	1964-01-07	1964-10-03
89	1965	1965-01-04	1965-10-23
89	1966	1966-01-10	1966-10-22
90	1967	1967-01-10	1967-12-15
90	1968	1968-01-15	1968-10-14
91	1969	1969-01-03	1969-12-23
91	1970	1970-01-19	1971-01-02
92	1971	1971-01-21	1971-12-17
92	1972	1972-01-18	1972-10-18
93	1973	1973-01-03	1973-12-22
93	1974	1974-01-21	1974-12-20
94	1975	1975-01-14	1975-12-19
94	1976	1976-01-19	1976-10-01
95	1977	1977-01-04	1977-12-15
95	1978	1978-01-19	1978-10-15
96	1979	1979-01-15	1980-01-03
96	1980	1980-01-03	1980-12-16
97	1981	1981-01-05	1981-12-16
97	1982	1982-01-25	1982-12-23
98	1983	1983-01-03	1983-11-18
98	1984	1984-01-23	1984-10-12
99	1985	1985-01-03	1985-12-20
99	1986	1986-01-21	1986-10-18
100	1987	1987-01-06	1987-12-22
100	1988	1988-01-25	1988-10-22
101	1989	1989-01-03	1989-11-22
101	1990	1990-01-23	1990-10-28
102	1991	1991-01-03	1992-01-03
102	1992	1992-01-03	1992-10-09
103	1993	1993-01-05	1993-11-26
103	1994	1994-01-25	1994-12-01
104	1995	1995-01-04	1996-01-03
104	1996	1996-01-03	1996-10-04
105	1997	1997-01-07	1997-11-13
105	1998	1998-01-27	1998-12-19
106	1999	1999-01-06	1999-11-22
106	2000	2000-01-24	2000-12-15
107	2001	2001-01-03	2001-12-20
107	2002	2002-01-23	2002-11-22
108	2003	2003-01-07	2003-12-08
108	2004	2004-01-20	2004-12-09
109	2005	2005-01-04	2005-12-22
109	2006	2006-01-03	2006-12-09
110	2007	2007-01-04	2007-12-19
110	2008	2008-01-03	2009-01-03
111	2009	2009-01-06	2009-12-24
111	2010	2010-01-05	2010-12-22
112	2011	2011-01-05	2011-12-30
112	2012	2012-01-03	2013-01-03
113	2013	2013-01-03	2013-12-26
113	2014	2014-01-03	2015-01-02
114	2015	2015-01-06	2015-12-31
114	2016	2016-01-01	2017-01-03
115	2017	2017-01-03	2017-12-31
115	2018	2018-01-01	2019-01-03
116	2019	2019-01-03	2019-12-31
116	2020	2020-01-01	2021-01-03
117	2021	2021-01-03	2021-12-31
117	2022	2022-01-01	2023-01-03
118	2023	2023-01-03	2023-12-31
118	2024	2024-01-01	2025-01-03
